drive_id,drive_start,drive_end
2016_01_BUF_BAL_1,Kickoff,Punt
2016_01_BUF_BAL_2,Punt,Punt
2016_01_BUF_BAL_3,Punt,Turnover
2016_01_BUF_BAL_4,Fumble,Punt
2016_01_BUF_BAL_5,Punt,Field Goal
2016_01_BUF_BAL_6,Kickoff,Punt
2016_01_BUF_BAL_7,Punt,Touchdown
2016_01_BUF_BAL_8,Kickoff,Touchdown
2016_01_BUF_BAL_10,Kickoff,Field Goal
2016_01_BUF_BAL_12,Punt,Punt
2016_01_BUF_BAL_13,Punt,Turnover
2016_01_BUF_BAL_14,Fumble,Punt
2016_01_BUF_BAL_15,Punt,Punt
2016_01_BUF_BAL_16,Punt,Punt
2016_01_BUF_BAL_17,Punt,Field Goal
2016_01_BUF_BAL_18,Kickoff,Punt
2016_01_CAR_DEN_1,Kickoff,Turnover
2016_01_CAR_DEN_2,Fumble,Touchdown
2016_01_CAR_DEN_3,Kickoff,Turnover
2016_01_CAR_DEN_4,Interception,Punt
2016_01_CAR_DEN_5,Punt,Touchdown
2016_01_CAR_DEN_6,Kickoff,Touchdown
2016_01_CAR_DEN_7,Kickoff,Punt
2016_01_CAR_DEN_8,Punt,Field Goal
2016_01_CAR_DEN_10,Kickoff,Punt
2016_01_CAR_DEN_11,Punt,Turnover
2016_01_CAR_DEN_12,Interception,Punt
2016_01_CAR_DEN_13,Punt,Punt
2016_01_CAR_DEN_14,Punt,Punt
2016_01_CAR_DEN_15,Punt,Touchdown
2016_01_CAR_DEN_16,Kickoff,Turnover
2016_01_CAR_DEN_17,Interception,Touchdown
2016_01_CAR_DEN_18,Kickoff,Field Goal
2016_01_CAR_DEN_19,Kickoff,Punt
2016_01_CAR_DEN_20,Punt,Field Goal
2016_01_CHI_HOU_1,Kickoff,Turnover
2016_01_CHI_HOU_2,Interception,Touchdown
2016_01_CHI_HOU_3,Kickoff,Punt
2016_01_CHI_HOU_4,Punt,Turnover
2016_01_CHI_HOU_5,Fumble,Field Goal
2016_01_CHI_HOU_6,Kickoff,Punt
2016_01_CHI_HOU_7,Punt,Touchdown
2016_01_CHI_HOU_8,Kickoff,Punt
2016_01_CHI_HOU_9,Punt,Punt
2016_01_CHI_HOU_10,Punt,Touchdown
2016_01_CHI_HOU_12,Kickoff,Turnover
2016_01_CHI_HOU_13,Interception,Field Goal
2016_01_CHI_HOU_14,Kickoff,Punt
2016_01_CHI_HOU_15,Punt,Punt
2016_01_CHI_HOU_16,Punt,Punt
2016_01_CHI_HOU_17,Punt,Punt
2016_01_CHI_HOU_18,Punt,Punt
2016_01_CHI_HOU_19,Punt,Touchdown
2016_01_CHI_HOU_20,Kickoff,Punt
2016_01_CHI_HOU_21,Punt,Field Goal
2016_01_CHI_HOU_22,Kickoff,Punt
2016_01_CHI_HOU_23,Punt,Punt
2016_01_CHI_HOU_24,Punt,Turnover
2016_01_CIN_NYJ_1,Kickoff,Punt
2016_01_CIN_NYJ_2,Punt,Touchdown
2016_01_CIN_NYJ_3,Kickoff,Turnover
2016_01_CIN_NYJ_4,Interception,Field Goal
2016_01_CIN_NYJ_6,Kickoff,Punt
2016_01_CIN_NYJ_7,Punt,Touchdown
2016_01_CIN_NYJ_8,Kickoff,Touchdown
2016_01_CIN_NYJ_9,Kickoff,Punt
2016_01_CIN_NYJ_10,Punt,Field Goal
2016_01_CIN_NYJ_11,Kickoff,Field Goal
2016_01_CIN_NYJ_12,Kickoff,Punt
2016_01_CIN_NYJ_13,Punt,Punt
2016_01_CIN_NYJ_14,Punt,Punt
2016_01_CIN_NYJ_15,Punt,Touchdown
2016_01_CIN_NYJ_16,Kickoff,Field Goal
2016_01_CIN_NYJ_17,Kickoff,Field Goal
2016_01_CIN_NYJ_19,Kickoff,Field Goal
2016_01_CIN_NYJ_20,Kickoff,Turnover
2016_01_CLE_PHI_1,Kickoff,Touchdown
2016_01_CLE_PHI_2,Kickoff,Punt
2016_01_CLE_PHI_3,Punt,Punt
2016_01_CLE_PHI_4,Punt,Punt
2016_01_CLE_PHI_5,Punt,Field Goal
2016_01_CLE_PHI_7,Fumble,Field Goal
2016_01_CLE_PHI_8,Kickoff,Touchdown
2016_01_CLE_PHI_9,Kickoff,Punt
2016_01_CLE_PHI_10,Punt,Turnover
2016_01_CLE_PHI_11,Interception,Field Goal
2016_01_CLE_PHI_13,Kickoff,Field Goal
2016_01_CLE_PHI_14,Kickoff,Punt
2016_01_CLE_PHI_16,Kickoff,Touchdown
2016_01_CLE_PHI_17,Kickoff,Punt
2016_01_CLE_PHI_18,Punt,Punt
2016_01_CLE_PHI_19,Punt,Punt
2016_01_CLE_PHI_20,Punt,Punt
2016_01_CLE_PHI_21,Punt,Punt
2016_01_CLE_PHI_22,Punt,Punt
2016_01_CLE_PHI_23,Punt,Turnover
