Category,Item,serving_size_grams,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Vitamin A DV,Vitamin C DV,Calcium DV,Iron DV
Breakfast,Egg McMuffin,136,300,120,13,5,0,260,750,31,4,3,17,10,0,25,15
Breakfast,Egg White Delight,135,250,70,8,3,0,25,770,30,4,3,18,6,0,25,8
Breakfast,Sausage McMuffin,111,370,200,23,8,0,45,780,29,4,2,14,8,0,25,10
Breakfast,Sausage McMuffin with Egg,161,450,250,28,10,0,285,860,30,4,2,21,15,0,30,15
Breakfast,Sausage McMuffin with Egg Whites,161,400,210,23,8,0,50,880,30,4,2,21,6,0,25,10
Breakfast,Steak & Egg McMuffin,185,430,210,23,9,1,300,960,31,4,3,26,15,2,30,20
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",150,460,230,26,13,0,250,1300,38,2,3,19,10,8,15,15
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",164,520,270,30,14,0,250,1410,43,3,4,19,15,8,20,20
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",153,410,180,20,11,0,35,1300,36,2,3,20,2,8,15,10
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",167,470,220,25,12,0,35,1420,42,3,4,20,6,8,15,15
Breakfast,Sausage Biscuit (Regular Biscuit),117,430,240,27,12,0,30,1080,34,2,2,11,0,0,6,15
Breakfast,Sausage Biscuit (Large Biscuit),131,480,280,31,13,0,30,1190,39,3,3,11,4,0,8,15
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),163,510,290,33,14,0,250,1170,36,2,2,18,6,0,10,20
Breakfast,Sausage Biscuit with Egg (Large Biscuit),177,570,330,37,15,0,250,1280,42,3,3,18,10,0,10,20
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),167,460,250,27,12,0,35,1180,34,2,3,18,0,0,8,15
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),181,520,280,32,13,0,35,1290,40,3,3,18,4,0,8,15
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),143,410,180,20,8,0,30,1180,41,2,3,17,0,2,6,15
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),157,470,220,24,9,0,30,1290,46,3,4,17,4,2,8,15
Breakfast,Steak & Egg Biscuit (Regular Biscuit),201,540,290,32,16,1,280,1470,38,2,3,25,10,2,20,25
Breakfast,"Bacon, Egg & Cheese McGriddles",174,460,190,21,9,0,250,1250,48,2,15,19,10,10,20,15
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",178,400,140,15,7,0,35,1250,47,2,16,20,2,10,15,10
Breakfast,Sausage McGriddles,141,420,200,22,8,0,35,1030,44,2,15,11,0,0,8,10
Breakfast,"Sausage, Egg & Cheese McGriddles",201,550,280,31,12,0,265,1320,48,2,15,20,10,0,20,15
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",205,500,230,26,10,0,50,1320,46,2,15,21,2,0,20,10
Breakfast,"Bacon, Egg & Cheese Bagel",197,620,280,31,11,0.5,275,1480,57,3,7,30,20,15,20,20
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",201,570,230,25,9,0.5,60,1480,55,3,8,30,10,15,20,15
Breakfast,"Steak, Egg & Cheese Bagel",241,670,310,35,13,1.5,295,1510,56,3,7,33,20,4,25,25
Breakfast,Big Breakfast (Regular Biscuit),269,740,430,48,17,0,555,1560,51,3,3,28,15,2,15,25
Breakfast,Big Breakfast (Large Biscuit),283,800,470,52,18,0,555,1680,56,4,3,28,15,2,15,30
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),272,640,330,37,14,0,35,1590,50,3,3,26,0,2,10,15
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),286,690,370,41,14,0,35,1700,55,4,4,26,4,2,10,15
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),420,1090,510,56,19,0,575,2150,111,6,17,36,15,2,25,40
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),434,1150,540,60,20,0,575,2260,116,7,17,36,15,2,30,40
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),423,990,410,46,16,0,55,2170,110,6,17,35,0,2,25,30
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),437,1050,450,50,16,0,55,2290,115,7,18,35,4,2,25,30
